a495068a-9d3c-402f-b901-285b30c00fcc;O exemplo
vem de cima para baixo na medida que a prepotência, a desfaçatez, a arrogância se
faz sentir como forma de poder e influencia social, contaminando todos os
setores, nem o púlpito das igrejas, onde se deveriam escutar palavras de sabedoria
ficou imune perante essa pandemia do mais grotesco que existe no ser humano que
busca sempre a forma de denegrir a seu semelhante.;0;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
b68527b5-c314-4333-ae30-5aee8c288e11;Parabéns as autoras deste anteprojeto de lei. O Brasil precisa avançar e essas nobres deputadas estão prestando um excelente serviço para tanto. Agora penso que as autoridades competentes precisam fazer uma quebra do sigilo bancário, telefônico e outros pertinentes às apurações por que esse juiz e esse promotor, como que pediu para sair do caso, dando lugar o ao outro não devem ter feito esses absurdos a troco de nada. Isso está me cheirando a venda de sentença. Me desculpa quem pode se sentir ofendido, mas é minha desconfiança e penso que deve ser apurada.;0;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
07c9b67f-3d5c-41e8-9e84-39581b99bdbc;Olha, no caso de estupro é a palavra da vítima contra a do agressor. Nunca q o cara vai dizer q fez isso, mas o q me choca é um bando de cara defendendo ele! Concordo q existem sim mulher que fazem o uso incorreto , e exatamente essa má fé tira toda a credibilidade de uma vítima real. Eu acredito nela! Um mentiroso não se mantem na mentira. Eu me sinto um lixo quando leio esses tipos de comentário, eu voltando do trabalho e cara entra na minha casa, só não fez o pior pq meu pai estava lá!  Ninguém é santo, é n é de hj que os homem comente tal ato e saem impune, #justiçamarianaferrer;1;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
49b3791e-8e45-42ce-94a9-e7e2ff8cc17d;Mais um que se informa pelo Whatsapp ;1;0;Olha, no caso de estupro é a palavra da vítima contra a do agressor. Nunca q o cara vai dizer q fez isso, mas o q me choca é um bando de cara defendendo ele! Concordo q existem sim mulher que fazem o uso incorreto , e exatamente essa má fé tira toda a credibilidade de uma vítima real. Eu acredito nela! Um mentiroso não se mantem na mentira. Eu me sinto um lixo quando leio esses tipos de comentário, eu voltando do trabalho e cara entra na minha casa, só não fez o pior pq meu pai estava lá!  Ninguém é santo, é n é de hj que os homem comente tal ato e saem impune, #justiçamarianaferrer;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
db614f11-8882-407c-a3be-7f35b4158949;Para que precisamos de um poder chamado justiça? Para que? Vivemos a lei do estado de natureza que é o melhor..... ;0;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
a07e009a-bfe1-4b2f-903f-a288a213296e;A vítima era uma santa, abusaram de sua inocência, nunca tinha colocado álcool no corpo, era do interior, não conhece internet e nem redes sociais, estava indo para a igreja e foi forçada a entrar na casa do demônio.;0;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
2912a8f6-a113-4fd5-87ad-0deea4e7416c;Na minha opinião, o que não falta são iniciativas e vontade para todo o tipo de situação, mas esperam-se acontecer algo "popular" para chamar atenção do público para o seu próprio benefício, essencialmente para esta eleição. Por muito tempo, este problema persiste, sem solução até hoje, mas esperam algo acontecer e chamar atenção para, de proveito, mostrar um projeto para ganhar popularidade e, depois de 1 ano, este projeto vira um arquivo morto, e o problema persistirá, e os números de mulheres cada vez mais traumatizada. São apenas números. Parabéns ! Veremos o próximo projeto.;0;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
a8a8591e-5b3a-4c4c-9503-9a4979c2d02e;Pena de morte, castracao quimica ou curtir como 40\13 Veloso ;0;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
04ab1dec-b2d9-4ad4-83e5-a689d3ec248e;ESTRUPO CULPOSO ! Primeira vez que ouço uma aberração destas ! Quando não há intenção do acusado de cometer  estrupo. ESSE CASO DEVERIA SER TODO REVISTO, por outra BANCA, outro JUIZ inclusive.;0;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
477bcffc-b148-49ec-8886-7317bf6669a2;A Najila (do Neymar) também é um encanto de doçura e inocência!!!;0;0;ESTRUPO CULPOSO ! Primeira vez que ouço uma aberração destas ! Quando não há intenção do acusado de cometer  estrupo. ESSE CASO DEVERIA SER TODO REVISTO, por outra BANCA, outro JUIZ inclusive.;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
83dc07d6-3595-4b52-b8b7-92f01c29b182;Kkkk comprou a tese? Vai estudar!;0;0;ESTRUPO CULPOSO ! Primeira vez que ouço uma aberração destas ! Quando não há intenção do acusado de cometer  estrupo. ESSE CASO DEVERIA SER TODO REVISTO, por outra BANCA, outro JUIZ inclusive.;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
